"Postaja","Glob_sevanje_max","Glob_sevanje_mean","Glob_sevanje_min","Hitrost_vetra_max","Hitrost_vetra_mean","Hitrost_vetra_min","Sunki_vetra_max","Sunki_vetra_mean","Sunki_vetra_min","Padavine_mean","Padavine_sum","Pritisk_max","Pritisk_mean","Pritisk_min","Vlaga_max","Vlaga_mean","Vlaga_min","Temperatura_Krvavec_max","Temperatura_Krvavec_mean","Temperatura_Krvavec_min","Temperatura_lokacija_max","Temperatura_lokacija_mean","Temperatura_lokacija_min","PM10","O3","mesec","letni_cas","dan"
"1865","Ljubljana",15,2,0,0.9,0.6875,0.4,1.9,1.6625,1.2,0,0,983.1,982.1125,981.8,98.9,97.5375,94.8,5.1,4.725,4.5,10.1,9.475,9.1,29.7,11.85,11,"jesen","ponedeljek"
"36","Koper",21,2.625,0,2.8,1.775,1.2,7.2,4.7875,3.1,0,0,1008.4,1007.725,1007.4,46.1,41.525,35.7,-10.7,-10.9875,-11.3,5.4,4.9625,4.7,13.2,67.95,2,"zima","petek"
"635","Koper",67,8.5,0,2.2,1.45,0.6,3.6,2.6,1.5,0,0,1020.1,1019.675,1019.4,90.9,88.275,83.9,4.4,3.5875,2.9,11.5,10.5125,10.1,29.5,100,11,"jesen","ponedeljek"
"1970","Ljubljana",75,9.5,0,0.9,0.6,0.2,2,1.4,0.7,0,0,983.9,982.5,981.5,95,92.2875,89.3,-4,-4.4125,-5,3.8,3.2625,2.7,25.8,75.7,2,"zima","èetrtek"
"2149","Ljubljana",4,0.5,0,0.9,0.5125,0.2,2.2,1.5375,0.9,0,0,997.5,996.35,995.5,87.3,78.4375,70.1,-10.2,-11.05,-11.8,-2.5,-3,-3.8,39,46.8,1,"zima","petek"
"810","Koper",82,18.875,0,3.2,1.7625,0.6,7.6,4.3625,1.2,0,0,1013.1,1012.4125,1011.6,85.1,68.2,57.6,5.4,5.25,4.9,17.9,17.25,16.3,19.4,97.4,5,"spomlad","nedelja"
"1261","Koper",2,0.25,0,2.6,1.7375,1.1,4.3,3.3125,2.5,0,0,1028.2,1026.9,1026.2,80.7,79.6875,78.2,4,1.0125,-2,4.9,4.4125,4,24.6,76.9,12,"zima","torek"
"126","Koper",29.7,7.975,0,2.6,1.7125,0.6,6.7,4.2,1.8,0.0125,0.1,1006.2,1004.625,1003.4,56.3,47.125,42.8,6.5,5.6,4.9,19.9,19.45,19.1,12.9,105.8,5,"spomlad","èetrtek"
"1216","Koper",14,1.75,0,3.8,3.0625,2.2,11.1,8.6375,5.8,0,0,1013.2,1010.975,1009.3,66.1,60.1375,58.3,-3.8,-3.9125,-4.1,9.8,9.5375,8.9,8.3,50.9,11,"jesen","sobota"
"1268","Ljubljana",7,0.875,0,1.3,0.8875,0.6,3.2,2.2125,1.3,0,0,995.1,994.325,993.7,94.2,93.3,92.5,3.3,2.9625,2.6,1.3,0.6875,0.1,61.3,2.7,1,"zima","petek"
"1656","Ljubljana",240,38.375,0,1.3,0.6125,0.2,2.9,1.875,1,0,0,992.7,991.5375,991,77.1,69.0875,64.2,3.8,1.3125,0.2,8.8,6.55,4.7,32.8,102.25,3,"zima","èetrtek"
"411","Koper",137,18.25,0,2.5,1.9125,1.5,7.8,4.225,2.9,0,0,1023.7,1023.325,1023.1,64.6,57.15,51.9,-0.4,-0.725,-1,12.3,10.7625,9,34.6,85.5,3,"zima","petek"
"1425","Ljubljana",300,72.375,0,0.9,0.65,0.3,2.1,1.4125,0.8,0,0,982.8,981.5125,980.7,82.8,77.9,69.9,13.2,11.1,10.3,19.8,17.275,16.2,27.3,118.05,7,"poletje","èetrtek"
